parent1,parent2,child,f1_hz,f2_hz,f3_hz,amp_child,amp_parent_geom,child_parent_amp_ratio,bic_0681,null95_0681,excess_0681,bic_0680,null95_0680,excess_0680,ampcorr_0681,ampcorr_0680,nwin_0681,nwin_0680,reproducible_positive,combined_edge_score
F04,F11,F19,4.7921697443197235,7.890713778411583,12.60697798295853,0.03681836618996346,0.05758625746954844,0.6393602885103791,0.2767216401798041,0.03261176437386259,0.2441098758059415,0.3431489679735607,0.13467004880853484,0.20847891916502587,0.9073451788887418,0.9353749361207593,46,55,1.0,0.369197227304957
F12,F12,F25,8.026544744320685,8.026544744320685,15.939897017050477,0.0121089415926691,0.0396103718989716,0.30570128509658057,0.26696637740748425,0.056792741477434176,0.21017363593005006,0.35729064622743956,0.09328317073943347,0.26400747548800607,0.8286352117655552,0.8813032113301421,46,55,1.0,0.3685781212228537
F11,F12,F25,7.890713778411583,8.026544744320685,15.939897017050477,0.0121089415926691,0.04059034144098211,0.2983207621023677,0.26605969885183384,0.058837758488225034,0.2072219403636088,0.3581807666980396,0.09281458718738998,0.2653661795106496,0.7735891137569318,0.8799774207536418,46,55,1.0,0.36644164806999857
F03,F14,F20,4.190784801137673,8.820223721593663,13.04856178977678,0.04924068860410876,0.1788029849414595,0.27539075267803986,0.23266758594044565,0.08874967385985454,0.14391791208059113,0.47725838922990194,0.1771197680889912,0.3001386211409107,0.8293929648643775,0.8946544343415473,46,55,1.0,0.32400108476513756
F03,F15,F20,4.190784801137673,8.96164772727553,13.04856178977678,0.04924068860410876,0.26023408259946595,0.1892169085319104,0.23266758594044565,0.08874967385985454,0.14391791208059113,0.47666069707763925,0.17731534151203038,0.2993453555656089,0.8293929648643775,0.8947307789892307,46,55,1.0,0.3235251254199565
F12,F12,F26,8.026544744320685,8.026544744320685,16.049893465914103,0.011993357807503005,0.0396103718989716,0.3027832669204095,0.2737138358144618,0.05183653454926649,0.2218773012651953,0.2736227842502061,0.12858547482271074,0.14503730942749535,0.811284945957778,0.9016508478125382,46,55,1.0,0.3088996869216925
F05,F12,F20,4.902965198865155,8.026544744320685,13.04856178977678,0.04924068860410876,0.055646345407845736,0.8848862983401993,0.06556486794348877,0.03847234365697863,0.027092524286510142,0.5104620168359062,0.11310429160265405,0.39735772523325213,0.8979603976845996,0.9203805467274255,46,55,1.0,0.2655071594264614
F03,F13,F19,4.190784801137673,8.402077414775336,12.60697798295853,0.03681836618996346,0.07837903976104231,0.46974760474500915,0.27455272617204995,0.051995382367628094,0.22255734380442185,0.19641146987600788,0.2279377815376658,-0.031526311661657924,0.7952009309084891,0.9127130462655568,46,55,0.0,0.22255734380442185
F10,F15,F27,7.712269176138788,8.96164772727553,16.59774502841427,0.012286209833829302,0.11839908653139805,0.10376946472953694,0.130663731384901,0.02331252625796318,0.10735120512693783,0.20741004269941635,0.0515067016248928,0.15590334107452355,0.6658216845936406,0.8966166003345203,46,55,1.0,0.20089320977165195
F10,F14,F27,7.712269176138788,8.820223721593663,16.59774502841427,0.012286209833829302,0.08135025925385675,0.15102852709405254,0.130663731384901,0.02331252625796318,0.10735120512693783,0.2067248353952859,0.05138679652362819,0.15533803887165773,0.6658216845936406,0.8960232936144856,46,55,1.0,0.20055402844993248
F06,F10,F21,5.415660511365317,7.712269176138788,13.208895596595026,0.04583265059123541,0.07176820818128823,0.6386205222716586,0.018177766956806698,0.04518780230867579,-0.027010035351869095,0.4993274435908425,0.12079573485196163,0.37853170873888087,0.9283250392244023,0.9266226409240372,46,55,0.0,0.2001089898914594
F04,F17,F26,4.7921697443197235,11.311257102276267,16.049893465914103,0.011993357807503005,0.07103913451395884,0.16882747642634033,0.1519824724729114,0.05592794181023203,0.09605453066267938,0.20689554943304164,0.10478502215823732,0.10211052727480432,0.621887276356524,0.8920895571609241,46,55,1.0,0.15732084702756197
F03,F15,F21,4.190784801137673,8.96164772727553,13.208895596595026,0.04583265059123541,0.26023408259946595,0.17612086062446253,0.1998251374467886,0.0467737828265665,0.1530513546202221,0.23785294533479856,0.2702304947404602,-0.03237754940566162,0.8108753499665243,0.9034215230757705,46,55,0.0,0.1530513546202221
F09,F17,F28,6.993696732956727,11.311257102276267,18.36434659091484,0.0109797196873844,0.05032573308499326,0.2181730700045871,0.18491762323797664,0.04582300089171989,0.13909462234625675,0.17663922359671202,0.17138729010021247,0.00525193349649955,0.5838013359585809,0.844430130563191,46,55,1.0,0.14224578244415648
F16,F18,F30,9.40669389204844,12.05273437500379,21.401633522733952,0.020516608973005925,0.06759109421121823,0.3035401218523363,0.1056800979000431,0.024032109919076235,0.08164798798096687,0.13108581317873938,0.05064724619527288,0.08043856698346649,0.8082521623843276,0.8895150842409986,46,55,1.0,0.12991112817104677
F15,F23,F33,8.96164772727553,14.242808948868063,23.157848011370874,0.013581697296790683,0.05463109069730092,0.24860747101030686,0.1868028764471986,0.07731165225177164,0.10949122419542695,0.08111174048204502,0.05838225860655878,0.022729481875486235,0.8398452322044292,0.8910685946654476,46,55,1.0,0.1231289133207187
F14,F23,F33,8.820223721593663,14.242808948868063,23.157848011370874,0.013581697296790683,0.03753621351097018,0.36182917844980156,0.1868028764471986,0.07731165225177164,0.10949122419542695,0.08060149556696848,0.05817555444769293,0.022425941119275553,0.8398452322044292,0.8945421614903929,46,55,1.0,0.12294678886699228
F13,F23,F32,8.402077414775336,14.242808948868063,22.597745028416167,0.006124185622666188,0.016454156915884487,0.3721968651431804,0.07545802504878225,0.04124325465366452,0.034214770395117736,0.20813297207293308,0.09827821668436933,0.10985475538856375,0.6041937010924731,0.9432316351000386,46,55,1.0,0.10012762362825599
F05,F14,F22,4.902965198865155,8.820223721593663,13.651544744322445,0.016851674341484213,0.10983102087352153,0.15343273883332242,0.0315500776484181,0.04298539490908738,-0.011435317260669278,0.2933458081716015,0.13335644299898458,0.15998936517261692,0.8529222940199046,0.8414352558140491,46,55,0.0,0.08455830184290086
F04,F16,F23,4.7921697443197235,9.40669389204844,14.242808948868063,0.009130935083498161,0.07927813066210618,0.11517596350014114,0.10753116974911403,0.0751104834739869,0.032420686275127134,0.17466139349567722,0.08958693970543133,0.08507445379024589,0.7766888223844924,0.825266646268776,46,55,1.0,0.08346535854927467
F02,F04,F14,3.965465198864866,4.7921697443197235,8.820223721593663,0.1543070136691137,0.21910473016561158,0.704261444070513,0.0023220253455608557,0.042906797202759805,-0.04058477185719895,0.3379332538101382,0.13484671576473245,0.20308653804540577,0.7194018948475155,0.8424805261630575,46,55,0.0,0.0812671509700445
F09,F15,F26,6.993696732956727,8.96164772727553,16.049893465914103,0.011993357807503005,0.11436030419050376,0.1048734339454381,0.039214035583425004,0.05387923379344769,-0.014665198210022684,0.219551953628465,0.06041058778872764,0.15914136583973737,0.5790018111421977,0.8127831751631414,46,55,0.0,0.08081962129381974
F05,F28,F33,4.902965198865155,18.36434659091484,23.157848011370874,0.013581697296790683,0.0292973145263082,0.46358164618107517,0.06793573966554517,0.05908735373169751,0.00884838593384766,0.19209378462816443,0.07406019260232624,0.11803359202583819,0.8181339321804318,0.8249018810784722,46,55,1.0,0.07966854114935057
F04,F28,F33,4.7921697443197235,18.36434659091484,23.157848011370874,0.013581697296790683,0.029586680127650544,0.45904769437439397,0.07932614545265883,0.056164177631003925,0.023161967821654902,0.19026486595412873,0.10412442491146734,0.08614044104266139,0.8190711034486512,0.841393229663485,46,55,1.0,0.07484623244725173
F05,F16,F23,4.902965198865155,9.40669389204844,14.242808948868063,0.009130935083498161,0.07850276945722068,0.11631354086780309,0.09322137277928881,0.0740656289563735,0.019155743822915308,0.21463923029357443,0.12637335268452832,0.08826587760904611,0.7733873672906635,0.8409144148447909,46,55,1.0,0.07211527038834298
F10,F13,F26,7.712269176138788,8.402077414775336,16.049893465914103,0.011993357807503005,0.035660227969441925,0.3363230828972936,0.11094629369473799,0.05110203607947838,0.05984425761525961,0.16696724272741534,0.16537504429058608,0.0015921984368292563,0.7442331055644816,0.969263295921489,46,55,1.0,0.060799576677357164
F01,F06,F14,3.371803977273755,5.415660511365317,8.820223721593663,0.1543070136691137,0.4643667895386157,0.33229554125184024,0.01390401049936461,0.04513450960574252,-0.031230499106377912,0.2918337710904419,0.14266269907757004,0.14917107201287186,0.7089921837443678,0.8778140506002677,46,55,0.0,0.058272144101345194
F04,F10,F19,4.7921697443197235,7.712269176138788,12.60697798295853,0.03681836618996346,0.058474527097898195,0.6296479512920569,0.013041256901330827,0.06167094151515966,-0.04862968461382883,0.374315145963925,0.2035424407921138,0.1707727051718112,0.9239120968942662,0.9321637170414193,46,55,0.0,0.053833938489257896
F07,F11,F23,6.35555752841107,7.890713778411583,14.242808948868063,0.009130935083498161,0.09697531472107393,0.09415731322719695,0.08892600565803974,0.04477963503905462,0.04414637061898512,0.07765740772135778,0.0690993399058908,0.008558067815466974,0.6706800117807049,0.8736087041620576,46,55,1.0,0.0492812113082653
F02,F18,F26,3.965465198864866,12.05273437500379,16.049893465914103,0.011993357807503005,0.18680471316695846,0.06420265101546892,0.1017859637839257,0.05465200940692892,0.04713395437699677,0.00034328185061749774,0.05219925420654528,-0.05185597235592778,0.613229753541069,0.5809052273704676,46,55,0.0,0.04713395437699677
F17,F17,F32,11.311257102276267,11.311257102276267,22.597745028416167,0.006124185622666188,0.06329859979121778,0.09675072818144508,0.012088413021073215,0.03644740977617972,-0.024358996755106502,0.2265792254720536,0.10825951712807926,0.11831970834397436,0.7736357476877016,0.7877113472604153,46,55,0.0,0.04663282825127811
F02,F12,F18,3.965465198864866,8.026544744320685,12.05273437500379,0.05795265966554599,0.1544385101507824,0.3752474665092617,0.0756178054694585,0.061346218157226344,0.014271587312232152,0.058658040232700256,0.012737194112942794,0.04592084611975746,0.6480857714865964,0.6554132841605911,46,55,1.0,0.041824094984086624
F05,F13,F21,4.902965198865155,8.402077414775336,13.208895596595026,0.04583265059123541,0.048144889498685034,0.951973326109456,0.05909480639206487,0.09062503999517862,-0.03153023360311375,0.26695138533225726,0.14469756034816011,0.12225382498409715,0.9097402221943369,0.8791307723644884,46,55,0.0,0.04182206138734453
F02,F18,F25,3.965465198864866,12.05273437500379,15.939897017050477,0.0121089415926691,0.18680471316695846,0.0648213922838586,0.09375725593145905,0.052017842637351985,0.04173941329410706,0.012968017624104636,0.053124243661575234,-0.0401562260374706,0.6133855807922768,0.5268676140520308,46,55,0.0,0.04173941329410706
F01,F11,F17,3.371803977273755,7.890713778411583,11.311257102276267,0.06329859979121778,0.2732834940454836,0.2316224769165267,0.1368396284803679,0.09601961034134907,0.04082001813901884,0.053006004866233525,0.14653949116866014,-0.09353348630242661,0.567533555407067,0.5723663257120201,46,55,0.0,0.04082001813901884
F04,F22,F28,4.7921697443197235,13.651544744322445,18.36434659091484,0.0109797196873844,0.036654064435448365,0.2995498550159651,0.03274140348592083,0.05835689186145982,-0.025615488375538994,0.2367485968778846,0.13102284761569652,0.10572574926218808,0.49006909291793316,0.7421098859624599,46,55,0.0,0.03781996118177386
F01,F21,F27,3.371803977273755,13.208895596595026,16.59774502841427,0.012286209833829302,0.2868683557362527,0.04282873864667481,0.04538533862958971,0.00996158867458785,0.03542374995500186,0.04900453035641116,0.08954585879932346,-0.0405413284429123,0.3153478785137149,0.7612365467080854,46,55,0.0,0.03542374995500186
F06,F11,F21,5.415660511365317,7.890713778411583,13.208895596595026,0.04583265059123541,0.07067799808857911,0.6484712616477112,0.013244175712452278,0.059752784442519066,-0.04650860873006679,0.3071740705984369,0.17376716634641856,0.13340690425201832,0.9235190577519335,0.937457936153346,46,55,0.0,0.0335355338211442
F06,F20,F28,5.415660511365317,13.04856178977678,18.36434659091484,0.0109797196873844,0.07690030355727709,0.14277862608444003,0.02593842579836096,0.04320627953246229,-0.01726785373410133,0.31072212907884145,0.22741802655093787,0.08330410252790357,0.4956399142715173,0.893237674927115,46,55,0.0,0.032714607782640806
F01,F12,F17,3.371803977273755,8.026544744320685,11.311257102276267,0.06329859979121778,0.2666856313276207,0.23735286927947039,0.09307043270196447,0.060496776842973214,0.03257365585899125,0.05166989782919044,0.14973399407225074,-0.09806409624306031,0.47148802887515806,0.5755801398643885,46,55,0.0,0.03257365585899125
F03,F23,F28,4.190784801137673,14.242808948868063,18.36434659091484,0.0109797196873844,0.043495022420389245,0.2524362346859584,0.07828202943810335,0.04840616181859352,0.029875867619509826,0.01762047236236513,0.11422316282675664,-0.09660269046439152,0.5190390039016086,0.9003912064710018,46,55,0.0,0.029875867619509826
F03,F27,F29,4.190784801137673,16.59774502841427,20.75710227273378,0.010554470813935674,0.050453453138416926,0.20919223873497672,0.05127189544472151,0.02295118749457868,0.028320707950142826,0.01354395716219058,0.02822350040151076,-0.014679543239320181,0.6755058405583115,0.7265204581046808,46,55,0.0,0.028320707950142826
F05,F10,F19,4.902965198865155,7.712269176138788,12.60697798295853,0.03681836618996346,0.057902630669373956,0.6358668986940786,0.020928112720028372,0.06861071508487028,-0.04768260236484191,0.3295376518872269,0.20371446029848955,0.12582319158873734,0.9237472846336378,0.91369410849084,46,55,0.0,0.027811312588400486
F07,F18,F28,6.35555752841107,12.05273437500379,18.36434659091484,0.0109797196873844,0.11446682563225488,0.0959205396562556,0.019323714580926993,0.04297141459612419,-0.0236477000151972,0.19624453637375988,0.11249261703444274,0.08375191933931714,0.5656334663099224,0.8177332053223274,46,55,0.0,0.026603451588393084
F03,F04,F15,4.190784801137673,4.7921697443197235,8.96164772727553,0.32686204024936544,0.12852349929848286,2.5432083784947475,0.02968289944555568,0.050083020603523425,-0.020400121157967743,0.2561739136422104,0.18077376860888644,0.07540014503332398,0.717014764524054,0.8398812856967872,46,55,0.0,0.024839965862026643
F14,F19,F30,8.820223721593663,12.60697798295853,21.401633522733952,0.020516608973005925,0.07537461200529742,0.2721952183523544,0.06152560260002556,0.037733305142701574,0.023792297457323988,0.02264769024043423,0.07269460937695953,-0.0500469191365253,0.8466293437712995,0.86294803659507,46,55,0.0,0.023792297457323988
F03,F28,F32,4.190784801137673,18.36434659091484,22.597745028416167,0.006124185622666188,0.04769551668016583,0.12840170416296023,0.06972145629447093,0.07282473255511103,-0.003103276260640095,0.18585333285293446,0.14142618575517177,0.04442714709776269,0.627843171372681,0.8025004691735402,46,55,0.0,0.023553011998017518
F13,F20,F30,8.402077414775336,13.04856178977678,21.401633522733952,0.020516608973005925,0.038210266429457386,0.536939699462265,0.06430694280729046,0.042544040253001056,0.021762902554289407,0.01767921832915725,0.04544989418542615,-0.0277706758562689,0.7949933453194739,0.7274452909285727,46,55,0.0,0.021762902554289407
F04,F15,F22,4.7921697443197235,8.96164772727553,13.651544744322445,0.016851674341484213,0.161429482184115,0.10439031404600797,0.03858975885678567,0.04003745254224256,-0.0014476936854568856,0.20636325269280298,0.17587074981176576,0.03049250288103722,0.8545450937241863,0.8287967573850236,46,55,0.0,0.016847808043165446
F10,F23,F31,7.712269176138788,14.242808948868063,21.895951704552324,0.006224816536205332,0.019788994861072565,0.31455951047065694,0.030404465362838674,0.049046950321507,-0.018642484958668326,0.1390217127297427,0.07987367285383992,0.05914803987590278,0.7966208713641746,0.9311577042974029,46,55,0.0,0.01684633896687334
F04,F14,F22,4.7921697443197235,8.820223721593663,13.651544744322445,0.016851674341484213,0.11091580696791156,0.15193212583630644,0.03858975885678567,0.04003745254224256,-0.0014476936854568856,0.2064073507931837,0.17600634542543347,0.030401005367750228,0.8545450937241863,0.8320528445083523,46,55,0.0,0.01679290953519325
F09,F15,F25,6.993696732956727,8.96164772727553,15.939897017050477,0.0121089415926691,0.11436030419050376,0.10588413242148931,0.037791836481077264,0.04509975959836902,-0.007307923117291754,0.10242130496536475,0.08127336260416876,0.021147942361195993,0.5832585081550432,0.7735545011632222,46,55,0.0,0.005380842299425842
