peak_hz,mean_freq_hz,freq_std_hz,mean_amp,best_pair_excess,best_harmonic_excess,child_evidence,best_relation,outgoing_count,tag
0.414227723717,0.41468394886376686,0.0315255868303406,0.5727991452859005,nan,nan,nan,,4,unexplained-or-parent-like
0.504907181228,0.41468394886376686,0.0315255868303406,0.5727991452859005,nan,nan,nan,,5,unexplained-or-parent-like
0.610291415633,0.4367897727274174,0.10793643781310258,0.5758832581133236,nan,nan,nan,,5,unexplained-or-parent-like
0.857821826678,0.8924893465912146,0.15356691507352466,0.31763299436478615,-0.037670631588113644,-0.09888170500777978,-0.037670631588113644,0.414 + 0.414,3,unexplained-or-parent-like
0.960755264934,0.9596058238639412,0.059608537136712735,0.3085057944662637,-0.03774330289055859,-0.07627265485158587,-0.03774330289055859,0.414 + 0.610,5,unexplained-or-parent-like
1.05388551859,0.9750532670457546,0.0625400257415125,0.30805741173814544,-0.0385263337574774,-0.07455904504874518,-0.0385263337574774,0.414 + 0.610,4,unexplained-or-parent-like
1.24504761821,1.3764204545458638,0.19921020430134023,0.40988259934437,-0.0032278459497096235,0.009908372847204,0.009908372847204,3 x 0.414,12,unexplained-or-parent-like
1.48277484466,1.4800248579550064,0.025672008208908453,0.39051919332586466,-0.0763687732985484,-0.024796195117425306,-0.024796195117425306,3 x 0.505,5,unexplained-or-parent-like
1.67883853658,1.4800248579550064,0.025672008208908453,0.39051919332586466,-0.011490762878215155,-0.03170398634489214,-0.011490762878215155,0.858 + 0.858,6,unexplained-or-parent-like
1.90186098613,1.938387784091511,0.14191344629477168,0.16426218983388427,-0.010093029709685689,0.011631161900702083,0.011631161900702083,3 x 0.610,3,unexplained-or-parent-like
2.0954738819,1.9636896306824208,0.1256049469163039,0.1628147893887111,0.01543566213014834,0.020475626368210875,0.020475626368210875,5 x 0.414,2,unexplained-or-parent-like
2.18370254326,2.060901988637003,0.12918658766067195,0.14812554346540233,0.014839329684538077,0.06323921405211036,0.06323921405211036,5 x 0.414,0,child-like
2.50497845332,2.441228693182612,0.17142639541642885,0.09290356047307316,-0.012378231097336469,-0.01726348352824998,-0.012378231097336469,0.610 + 1.902,3,unexplained-or-parent-like
2.94383730525,3.1142578125009517,0.12801030813189887,0.7898125719006734,0.08441600807633942,0.01639792937452353,0.08441600807633942,1.483 + 1.483,3,child-like
3.32856015604,3.340110085228326,0.025903069194437384,1.7811915552220146,-0.017624233779384338,-0.0007786191927386527,-0.0007786191927386527,4 x 0.858,5,unexplained-or-parent-like
3.6389149013,3.4034978693191844,0.1748626160696633,1.7955202778204191,-0.01155965656728089,-0.0386152404230231,-0.01155965656728089,1.679 + 1.902,5,unexplained-or-parent-like
3.77553375046,3.920188210228461,0.1580647405395272,0.602146666999927,-0.046027546886287976,0.007741546452482664,0.007741546452482664,2 x 1.902,6,unexplained-or-parent-like
3.9739017122,3.9763849431830574,0.05443933741582293,0.5862937156892476,-0.05490909124745431,nan,-0.05490909124745431,1.902 + 2.095,7,unexplained-or-parent-like
4.18539029792,3.9998224431830787,0.07606004386214144,0.5875720436553923,0.08792103949017724,0.0018054660073121287,0.08792103949017724,0.414 + 3.776,11,child-like
4.35862456299,4.190784801137673,0.11974871358022719,0.20718764924406707,0.03339638455462923,0.004491836976974528,0.03339638455462923,0.961 + 3.329,2,child-like
4.76602040683,4.7921697443197235,0.17250855666349107,0.0797262285285576,0.10669948177796575,-0.01289440431124643,0.10669948177796575,0.858 + 3.974,4,child-like
4.94362491073,4.902965198865155,0.13078632623818603,0.0781743671871374,0.1048664723152314,-0.00461315526197395,0.1048664723152314,0.961 + 3.974,4,child-like
5.18953883921,5.366654829547102,0.18038977548716556,0.12009695345137623,0.046932195699479685,-0.07218703639472732,0.046932195699479685,1.483 + 3.639,8,child-like
5.45074104264,5.464666193183533,0.05652082835804074,0.11730220646524928,0.02172552652450921,nan,0.02172552652450921,1.245 + 4.185,0,unexplained-or-parent-like
6.36911171871,6.35555752841107,0.05009014421110005,0.22609236997822954,0.035768113622121456,-0.10719393311094882,0.035768113622121456,1.483 + 4.944,2,child-like
6.89727445364,6.888760653411199,0.15880258864234256,0.04663567998951269,0.007834936217846727,nan,0.007834936217846727,1.679 + 5.190,4,unexplained-or-parent-like
7.0817099,6.993696732956727,0.11986239291003412,0.04001161824899287,0.0027036239620925467,nan,0.0027036239620925467,1.902 + 5.190,6,unexplained-or-parent-like
7.62818529662,7.712269176138788,0.16015829228487322,0.04288764666822365,-0.025993362311442704,0.03451715702499372,0.03451715702499372,2 x 3.776,5,child-like
7.95607053459,7.890713778411583,0.16875042876012125,0.041594555650669995,0.1574408412998268,0.06128478133556828,0.1574408412998268,3.776 + 4.185,5,child-like
8.10635126866,8.026544744320685,0.18227353296654591,0.0396103718989716,0.09970917248463876,nan,0.09970917248463876,3.974 + 4.185,4,child-like
8.33177236976,8.402077414775336,0.1497294389736301,0.02965077260288944,0.004726985650684579,-0.0656203277979851,0.004726985650684579,1.245 + 7.082,6,unexplained-or-parent-like
8.55719347087,8.820223721593663,0.1001544406089271,0.1543070136691137,0.0679272506576425,nan,0.0679272506576425,1.483 + 7.082,3,child-like
8.74162891723,8.96164772727553,0.01988794890157197,0.32686204024936544,-0.013334094447494026,-0.013366080853584358,-0.013334094447494026,1.902 + 6.897,3,unexplained-or-parent-like
8.95047794335,8.96164772727553,0.01988794890157197,0.32686204024936544,0.09588923731356139,-0.08333976070515209,0.09588923731356139,0.414 + 8.557,9,child-like
9.40306803252,9.40669389204844,0.16395934914729823,0.07883255131059802,0.04957730924668184,-0.04603625896004172,0.04957730924668184,4.185 + 5.190,5,child-like
11.3332775353,11.311257102276267,0.07675816367014639,0.06329859979121778,0.0374360629393144,-0.031095561428314867,0.0374360629393144,3.329 + 7.956,5,child-like
12.0158503351,12.05273437500379,0.12959446322462947,0.05795265966554599,0.029318275881173222,-0.016030007108417163,0.029318275881173222,4.944 + 7.082,7,unexplained-or-parent-like
12.5370877458,12.60697798295853,0.2476308977205215,0.03681836618996346,0.1363375347330984,-0.03053214921847902,0.1363375347330984,3.639 + 8.950,2,child-like
12.9342210112,13.001686789776775,0.1510782908559958,0.0474820559279992,0.08947233795890457,nan,0.08947233795890457,4.185 + 8.742,3,child-like
13.1079668148,13.095436789776787,0.17404125748511487,0.04924068860410876,0.1330847025089222,-0.12420874850999115,0.1330847025089222,4.185 + 8.950,3,child-like
13.2568917893,13.208895596595026,0.13302771415488449,0.04583265059123541,0.16423240128882408,-0.049360703994401484,0.16423240128882408,4.766 + 8.557,3,child-like
13.7460738293,13.651544744322445,0.18792229378925357,0.016851674341484213,0.09399700396934665,-0.027469297185410538,0.09399700396934665,1.245 + 12.537,0,child-like
14.2476787985,14.242808948868063,0.17576732737802356,0.009130935083498161,0.03991436672591203,-0.05056374318452639,0.03991436672591203,4.766 + 9.403,2,child-like
14.7008972301,14.707031250004631,0.1994849074356198,0.008170907238442923,-0.008702375748276425,-0.06510114581675458,-0.008702375748276425,6.369 + 8.332,3,unexplained-or-parent-like
15.8234583338,15.939897017050477,0.19619688959602355,0.0121089415926691,0.055913548099962226,-0.018209339521931253,0.055913548099962226,7.082 + 8.742,0,child-like
16.024945064,16.049893465914103,0.12407791908032131,0.011993357807503005,0.18770308712037836,-0.09635185725847627,0.18770308712037836,7.956 + 8.106,2,child-like
16.6009768024,16.59774502841427,0.14520986415920115,0.012286209833829302,0.1792491297803753,-0.0340727683777545,0.1792491297803753,1.902 + 14.701,1,child-like
18.3613165321,18.36434659091484,0.12761209992727615,0.0109797196873844,0.13990396510595626,nan,0.13990396510595626,7.082 + 11.333,3,child-like
20.7883484324,20.75710227273378,0.17585871227331923,0.010554470813935674,0.0637939095950858,-0.04361779164600248,0.0637939095950858,2.505 + 18.361,0,child-like
21.398613679,21.401633522733952,0.08035382800684185,0.020516608973005925,0.081138560991589,nan,0.081138560991589,9.403 + 12.016,2,child-like
21.9597771241,21.895951704552324,0.1735917357142375,0.006224816536205332,0.11622246801216402,nan,0.11622246801216402,0.505 + 21.399,1,child-like
22.5630278277,22.597745028416167,0.19849587656372936,0.006124185622666188,0.010778757340077619,-0.015479874573965574,0.010778757340077619,4.185 + 18.361,1,unexplained-or-parent-like
23.1592639881,23.157848011370874,0.08254673574915522,0.013581697296790683,0.1080419771513378,nan,0.1080419771513378,8.950 + 14.248,0,child-like
28.8642864757,28.853959517054484,0.1756139037502596,0.0038774188684715786,-0.012315467172931874,nan,-0.012315467172931874,6.897 + 21.960,0,unexplained-or-parent-like
